model,condition,epsilon,samples,successful_evasions,attack_success_rate,mean_clean_probability,mean_attacked_probability,mean_confidence_drop,median_confidence_drop,prediction_changes,prediction_change_rate
mlp,FGSM,0.05,1000,84,0.084,0.9740826374032472,0.908952460172966,0.06513017723028114,5.8303880257848384e-05,84,0.084
mlp,FGSM,0.1,1000,177,0.177,0.9740826374032472,0.831063313023184,0.14301932438006315,0.0006900259107942563,177,0.177
mlp,FGSM,0.2,1000,347,0.347,0.9740826374032472,0.6730829870728319,0.3009996503304153,0.07823745394456255,347,0.347
mlp,PGD,0.05,1000,96,0.096,0.9740826374032472,0.9034663434973373,0.07061629390590986,5.901089975701712e-05,96,0.096
mlp,PGD,0.1,1000,206,0.206,0.9740826374032472,0.8054320283863335,0.16865060901691373,0.0009177812364991045,206,0.206
mlp,PGD,0.2,1000,415,0.415,0.9740826374032472,0.5876406699776378,0.3864419674256095,0.20149344887427467,415,0.415
mlp,constraint_aware_FGSM,0.05,1000,36,0.036,0.9740826374032472,0.9474460874013464,0.026636550001900895,1.4016896130786272e-05,36,0.036
mlp,constraint_aware_FGSM,0.1,1000,62,0.062,0.9740826374032472,0.9260149270286233,0.04806771037462383,5.611022858581505e-05,62,0.062
mlp,constraint_aware_FGSM,0.2,1000,88,0.088,0.9740826374032472,0.8909565054744079,0.08312613192883929,0.0005363346237928779,88,0.088
mlp,constraint_aware_PGD,0.05,1000,38,0.038,0.9740826374032472,0.9452694909785876,0.028813146424659535,1.4016896130786272e-05,38,0.038
mlp,constraint_aware_PGD,0.1,1000,76,0.076,0.9740826374032472,0.9173651744586139,0.056717462944633396,5.814198657611014e-05,76,0.076
mlp,constraint_aware_PGD,0.2,1000,136,0.136,0.9740826374032472,0.8606897141750994,0.11339292322814787,0.0005944607014889969,136,0.136
