model,condition,epsilon,samples,successful_evasions,attack_success_rate,mean_clean_probability,mean_attacked_probability,mean_confidence_drop,median_confidence_drop,clean_brier_score,attacked_brier_score,brier_score_change,clean_ece,attacked_ece,ece_change,prediction_changes,prediction_change_rate
mlp,clean,0.0,1000,0,0.0,0.9740826374032472,0.9740826374032472,0.0,0.0,0.0068539677108749196,0.0068539677108749196,0.0,0.025917362596752706,0.025917362596752706,0.0,0,0.0
mlp,FGSM,0.05,1000,84,0.084,0.9740826374032472,0.908952460172966,0.06513017723028114,5.8303880257848384e-05,0.0068539677108749196,0.045615840854786927,0.03876187314391201,0.025917362596752706,0.09104753982703409,0.06513017723028139,84,0.084
mlp,FGSM,0.1,1000,177,0.177,0.9740826374032472,0.831063313023184,0.14301932438006315,0.0006900259107942563,0.0068539677108749196,0.1057292985772085,0.09887533086633359,0.025917362596752706,0.16893668697681596,0.14301932438006326,177,0.177
mlp,FGSM,0.2,1000,347,0.347,0.9740826374032472,0.6730829870728319,0.3009996503304153,0.07823745394456255,0.0068539677108749196,0.24989385634687836,0.24303988863600343,0.025917362596752706,0.32691701292716824,0.30099965033041554,347,0.347
mlp,PGD,0.05,1000,96,0.096,0.9740826374032472,0.9034663434973373,0.07061629390590986,5.901089975701712e-05,0.0068539677108749196,0.05017008484850238,0.043316117137627466,0.025917362596752706,0.09653365650266266,0.07061629390590995,96,0.096
mlp,PGD,0.1,1000,206,0.206,0.9740826374032472,0.8054320283863335,0.16865060901691373,0.0009177812364991045,0.0068539677108749196,0.13144649041768355,0.12459252270680864,0.025917362596752706,0.19456797161366657,0.16865060901691387,206,0.206
mlp,PGD,0.2,1000,415,0.415,0.9740826374032472,0.5876406699776378,0.3864419674256095,0.20149344887427467,0.0068539677108749196,0.34485404112770496,0.33800007341683,0.025917362596752706,0.4123593300223622,0.3864419674256095,415,0.415
mlp,constraint_aware_FGSM,0.05,1000,36,0.036,0.9740826374032472,0.9474460874013464,0.026636550001900895,1.4016896130786272e-05,0.0068539677108749196,0.02141945687188615,0.01456548916101123,0.025917362596752706,0.05255391259865376,0.026636550001901054,36,0.036
mlp,constraint_aware_FGSM,0.1,1000,62,0.062,0.9740826374032472,0.9260149270286233,0.04806771037462383,5.611022858581505e-05,0.0068539677108749196,0.03398023335133557,0.02712626564046065,0.025917362596752706,0.07398507297137659,0.04806771037462389,62,0.062
mlp,constraint_aware_FGSM,0.2,1000,88,0.088,0.9740826374032472,0.8909565054744079,0.08312613192883929,0.0005363346237928779,0.0068539677108749196,0.05329310338648111,0.046439135675606195,0.025917362596752706,0.10904349452559206,0.08312613192883936,88,0.088
mlp,constraint_aware_PGD,0.05,1000,38,0.038,0.9740826374032472,0.9452694909785876,0.028813146424659535,1.4016896130786272e-05,0.0068539677108749196,0.02300601742145611,0.01615204971058119,0.025917362596752706,0.054730509021412424,0.02881314642465972,38,0.038
mlp,constraint_aware_PGD,0.1,1000,76,0.076,0.9740826374032472,0.9173651744586139,0.056717462944633396,5.814198657611014e-05,0.0068539677108749196,0.041356716421425646,0.03450274871055073,0.025917362596752706,0.08263482554138622,0.05671746294463352,76,0.076
mlp,constraint_aware_PGD,0.2,1000,136,0.136,0.9740826374032472,0.8606897141750994,0.11339292322814787,0.0005944607014889969,0.0068539677108749196,0.08103881856747767,0.07418485085660276,0.025917362596752706,0.1393102858249007,0.11339292322814801,136,0.136
