attack_success_rate,clean_accuracy,attacked_accuracy,fpr,fnr,mean_changed_feature_fraction,mean_changed_features,mean_l2,mean_linf,mean_clean_malicious_probability,mean_attacked_malicious_probability,mean_confidence_drop,successful_evasions,model,attack,epsilon,samples,seed,black_box_steps,black_box_features_per_step
0.084,1.0,0.916,,0.084,0.203125,39.0,0.31224989991991997,0.05000000000000005,0.9740826374032472,0.908952460172966,0.06513017723028114,84,mlp,FGSM,0.05,1000,42,,
0.096,1.0,0.904,,0.096,0.200734375,38.541,0.3063701614949795,0.05000000000000005,0.9740826374032472,0.9034663434973373,0.07061629390590986,96,mlp,PGD,0.05,1000,42,,
0.177,1.0,0.823,,0.177,0.203125,39.0,0.6244997998398397,0.10000000000000009,0.9740826374032472,0.831063313023184,0.14301932438006315,177,mlp,FGSM,0.1,1000,42,,
0.206,1.0,0.794,,0.206,0.19927083333333334,38.26,0.6057245057430554,0.10000000000000009,0.9740826374032472,0.8054320283863335,0.16865060901691373,206,mlp,PGD,0.1,1000,42,,
0.347,1.0,0.653,,0.347,0.203125,39.0,1.2489995996796792,0.20000000000000015,0.9740826374032472,0.6730829870728319,0.3009996503304153,347,mlp,FGSM,0.2,1000,42,,
0.415,1.0,0.585,,0.415,0.19804166666666664,38.024,1.1969543905684445,0.20000000000000015,0.9740826374032472,0.5876406699776378,0.3864419674256095,415,mlp,PGD,0.2,1000,42,,
0.013118062563067608,1.0,0.9868819374369324,,0.013118062563067608,0.029289648503195428,5.623612512613522,0.017510584235835628,0.01138244197780021,0.9649527346648941,0.742363287098437,0.22258944756645715,13,randomforest,black_box_coordinate,0.05,991,42,10.0,10.0
0.017154389505549948,1.0,0.9828456104944501,,0.017154389505549948,0.03707849815001682,7.119071644803229,0.037153010755357735,0.025237134207870857,0.9649527346648941,0.7063592690089395,0.2585934656559547,17,randomforest,black_box_coordinate,0.1,991,42,10.0,10.0
0.039354187689202826,1.0,0.9606458123107972,,0.039354187689202826,0.03804027917928019,7.303733602421796,0.08460885978521858,0.05733602421796166,0.9649527346648941,0.688027900811174,0.27692483385372,39,randomforest,black_box_coordinate,0.2,991,42,10.0,10.0
0.1462925851703407,1.0,0.8537074148296593,,0.1462925851703407,0.022795591182364728,4.376753507014028,0.015389346605481738,0.010475951903807623,0.978712797164917,0.8112712502479553,0.16744163632392883,146,xgboost,black_box_coordinate,0.05,998,42,10.0,10.0
0.1593186372745491,1.0,0.8406813627254509,,0.1593186372745491,0.026991482965931863,5.182364729458918,0.03073006218008986,0.02055110220440882,0.978712797164917,0.7887631058692932,0.18994970619678497,159,xgboost,black_box_coordinate,0.1,998,42,10.0,10.0
0.16332665330661322,1.0,0.8366733466933868,,0.16332665330661322,0.0300809953239813,5.775551102204409,0.08272173154904645,0.057515030060120244,0.978712797164917,0.7736585736274719,0.20505425333976746,163,xgboost,black_box_coordinate,0.2,998,42,10.0,10.0
